# t_days flux
1.325298345775945563e+03 nan
1.325299734676904336e+03 1.781912500000000000e+05
1.325301123578328315e+03 1.782234218750000000e+05
1.325302512479751385e+03 1.781589218750000000e+05
1.325303901380710158e+03 1.782212812500000000e+05
1.325305290282134138e+03 1.782683125000000000e+05
1.325306679183091546e+03 1.782329062500000000e+05
1.325308068084515980e+03 1.780888125000000000e+05
1.325309456985939960e+03 1.781823593750000000e+05
1.325310845886897823e+03 1.781842968750000000e+05
1.325312234788322257e+03 1.782520625000000000e+05
1.325313623689279893e+03 1.781730000000000000e+05
1.325315012590703645e+03 1.782195937500000000e+05
1.325316401491662418e+03 1.781413437500000000e+05
1.325317790393086398e+03 1.781834375000000000e+05
1.325319179294044261e+03 1.782353125000000000e+05
1.325320568195468240e+03 1.782913906250000000e+05
1.325321957096892675e+03 1.782661875000000000e+05
1.325323345997850993e+03 1.782124375000000000e+05
1.325324734899274063e+03 1.782146875000000000e+05
1.325326123800232835e+03 1.782075781250000000e+05
1.325327512701656815e+03 1.782869375000000000e+05
1.325328901602614224e+03 1.782127812500000000e+05
1.325330290504038658e+03 1.782044843750000000e+05
1.325331679404996521e+03 1.782302031250000000e+05
1.325333068306419818e+03 1.782435156250000000e+05
1.325334457207378819e+03 1.781143593750000000e+05
1.325335846108803253e+03 1.782126718750000000e+05
1.325337235009761116e+03 1.783150000000000000e+05
1.325338623911185095e+03 1.782821093750000000e+05
1.325340012812143414e+03 1.782146875000000000e+05
1.325341401713101277e+03 1.781860312500000000e+05
1.325342790614525256e+03 1.781882343750000000e+05
1.325344179515483120e+03 1.782176562500000000e+05
1.325345568416907099e+03 1.782790625000000000e+05
1.325346957317865417e+03 1.782237968750000000e+05
1.325348346219289851e+03 1.781533906250000000e+05
1.325349735120248624e+03 1.782254375000000000e+05
1.325351124021671694e+03 1.782740156250000000e+05
1.325352512922630012e+03 1.782209375000000000e+05
1.325353901823588785e+03 1.782406093750000000e+05
1.325355290725011855e+03 1.781739687500000000e+05
1.325356679625969718e+03 1.782110000000000000e+05
1.325358068527394380e+03 1.781623281250000000e+05
1.325359457428352471e+03 1.782061406250000000e+05
1.325360846329310789e+03 1.782404531250000000e+05
1.325362235230734314e+03 1.781589687500000000e+05
1.325363624131692632e+03 1.782300781250000000e+05
1.325365013033116611e+03 1.782119531250000000e+05
1.325366401934074474e+03 1.780911250000000000e+05
1.325367790835033247e+03 1.781858593750000000e+05
1.325369179736457227e+03 1.781935781250000000e+05
1.325370568637415317e+03 1.782611250000000000e+05
1.325371957538374318e+03 1.781610000000000000e+05
1.325373346439797388e+03 1.781553281250000000e+05
1.325374735340755251e+03 1.782203437500000000e+05
1.325376124241714251e+03 1.782124375000000000e+05
1.325377513143137548e+03 1.781807812500000000e+05
1.325378902044095412e+03 1.782562031250000000e+05
1.325380290945054185e+03 1.781944062500000000e+05
1.325381679846478164e+03 1.782560156250000000e+05
1.325383068747436255e+03 1.782346875000000000e+05
1.325384457648394346e+03 1.782398125000000000e+05
1.325385846549818780e+03 1.782130625000000000e+05
1.325387235450777098e+03 1.781696562500000000e+05
1.325388624351734506e+03 1.781352968750000000e+05
1.325390013253158941e+03 1.782433281250000000e+05
1.325391402154117259e+03 1.781622656250000000e+05
1.325392791055075122e+03 1.781715312500000000e+05
1.325394179956033895e+03 1.782044375000000000e+05
1.325395568857457192e+03 1.781777343750000000e+05
1.325396957758415283e+03 1.782377500000000000e+05
1.325398346659374056e+03 1.781962343750000000e+05
1.325399735560331465e+03 1.781703906250000000e+05
1.325401124461755444e+03 1.782661406250000000e+05
1.325402513362714217e+03 1.782133906250000000e+05
1.325403902263672535e+03 1.781663281250000000e+05
1.325405291164630398e+03 1.781670312500000000e+05
1.325406680066054378e+03 1.782027343750000000e+05
1.325408068967013151e+03 1.781285937500000000e+05
1.325409457867971469e+03 1.781974687500000000e+05
1.325410846768928877e+03 1.781765937500000000e+05
1.325412235670353311e+03 1.781998593750000000e+05
1.325413624571311175e+03 1.782217031250000000e+05
1.325415013472268811e+03 1.782371562500000000e+05
1.325416402373227811e+03 1.781155156250000000e+05
1.325417791274185674e+03 1.782435156250000000e+05
1.325419180175609654e+03 1.781699218750000000e+05
1.325420569076568427e+03 1.781763437500000000e+05
1.325421957977526745e+03 1.782146250000000000e+05
1.325423346878484608e+03 1.781105781250000000e+05
1.325424735779442926e+03 1.782255312500000000e+05
1.325426124680866451e+03 1.781871562500000000e+05
1.325427513581824769e+03 1.782658437500000000e+05
1.325428902482783087e+03 1.782076406250000000e+05
1.325430291383741860e+03 1.781951406250000000e+05
1.325431680284699723e+03 1.782428281250000000e+05
1.325433069185657132e+03 1.782986250000000000e+05
1.325434458087081794e+03 1.781824687500000000e+05
1.325435846988039884e+03 1.783033437500000000e+05
1.325437235888997293e+03 1.782258281250000000e+05
1.325438624789956066e+03 1.782969531250000000e+05
1.325440013690915066e+03 1.782203281250000000e+05
1.325441402591873157e+03 1.781723437500000000e+05
1.325442791492831475e+03 1.782250781250000000e+05
1.325444180394255000e+03 1.782518125000000000e+05
1.325445569295213318e+03 1.781631093750000000e+05
1.325446958196171408e+03 1.781523281250000000e+05
1.325448347097129499e+03 1.781954531250000000e+05
1.325449735998087817e+03 1.781121875000000000e+05
1.325451124899045681e+03 1.782417968750000000e+05
1.325452513800004681e+03 1.782296562500000000e+05
1.325453902700962772e+03 1.782547968750000000e+05
1.325455291601920180e+03 1.781940937500000000e+05
1.325456680502878953e+03 1.781619531250000000e+05
1.325458069404303387e+03 1.781476875000000000e+05
1.325459458305261023e+03 1.782357968750000000e+05
1.325460847206219114e+03 1.782988906250000000e+05
1.325462236107177887e+03 1.782265937500000000e+05
1.325463625008135296e+03 1.782282656250000000e+05
1.325465013909093614e+03 1.782249218750000000e+05
1.325466402810052386e+03 1.781908593750000000e+05
1.325467791711010705e+03 1.782855625000000000e+05
1.325469180611968568e+03 1.781420937500000000e+05
1.325470569512926886e+03 1.782811093750000000e+05
1.325471958413884977e+03 1.781522031250000000e+05
1.325473347314843068e+03 1.782057656250000000e+05
1.325474736215801386e+03 1.782399843750000000e+05
1.325476125116760159e+03 1.781958281250000000e+05
1.325477514017718022e+03 1.782593281250000000e+05
1.325478902918676340e+03 1.782606406250000000e+05
1.325480291819635113e+03 1.782266250000000000e+05
1.325481680720592522e+03 1.782434687500000000e+05
1.325483069621550840e+03 1.783249843750000000e+05
1.325484458522509613e+03 1.782861250000000000e+05
1.325485847423467021e+03 1.782496562500000000e+05
1.325487236324425339e+03 1.782329687500000000e+05
1.325488625225384112e+03 1.782329375000000000e+05
1.325490014126341975e+03 1.782836250000000000e+05
1.325491403027300294e+03 1.782331875000000000e+05
1.325492791928258612e+03 1.781494375000000000e+05
1.325494180829217385e+03 1.782600156250000000e+05
1.325495569730175248e+03 1.781988593750000000e+05
1.325496958631132884e+03 1.781961875000000000e+05
1.325498347532091884e+03 1.782034062500000000e+05
1.325499736433049748e+03 1.782362187500000000e+05
1.325501125334008066e+03 1.781311875000000000e+05
1.325502514234966839e+03 1.781061250000000000e+05
1.325503903135924247e+03 1.782328750000000000e+05
1.325505292036882565e+03 1.782262031250000000e+05
1.325506680937841338e+03 1.782132500000000000e+05
1.325508069838798747e+03 1.782225312500000000e+05
1.325509458739756838e+03 1.781198281250000000e+05
1.325510847640715838e+03 1.781354218750000000e+05
1.325512236541674611e+03 1.781800937500000000e+05
1.325513625442632474e+03 1.781532968750000000e+05
1.325515014343589883e+03 1.781943437500000000e+05
1.325516403244548883e+03 1.780789218750000000e+05
1.325517792145506974e+03 1.781424062500000000e+05
