# t_days flux
1.325537486879340577e+03 1.360021718750000000e+05
1.325538875788680571e+03 1.359319687500000000e+05
1.325540264697555585e+03 1.359824843750000000e+05
1.325541653606895807e+03 1.359951093750000000e+05
1.325543042515769457e+03 1.359823281250000000e+05
1.325544431425110133e+03 1.360159375000000000e+05
1.325545820333984693e+03 1.360710937500000000e+05
1.325547209243324005e+03 1.360011718750000000e+05
1.325548598152199020e+03 1.360040781250000000e+05
1.325549987061074035e+03 1.359936406250000000e+05
1.325551375970414256e+03 1.360576718750000000e+05
1.325552764879288361e+03 1.359903125000000000e+05
1.325554153788628582e+03 1.359802031250000000e+05
1.325555542697502915e+03 1.360261093750000000e+05
1.325556931606377248e+03 1.359320000000000000e+05
1.325558320515717469e+03 1.360378437500000000e+05
1.325559709424591574e+03 1.360237343750000000e+05
1.325561098333466134e+03 1.359764062500000000e+05
1.325562487242341149e+03 1.360215468750000000e+05
1.325563876151681825e+03 1.360115156250000000e+05
1.325565265060555475e+03 1.360198281250000000e+05
1.325566653969430035e+03 1.360637656250000000e+05
1.325568042878305050e+03 1.360392187500000000e+05
1.325569431787644362e+03 1.359279218750000000e+05
1.325570820696518922e+03 1.360452031250000000e+05
1.325572209605393937e+03 1.360394531250000000e+05
1.325573598514268042e+03 1.359616718750000000e+05
1.325574987423142602e+03 1.360221562500000000e+05
1.325576376332482823e+03 1.360177031250000000e+05
1.325577765241356929e+03 1.360308437500000000e+05
1.325579154150231489e+03 1.360345156250000000e+05
1.325580543059105594e+03 1.359308906250000000e+05
1.325581931967980836e+03 1.359414218750000000e+05
1.325583320876855169e+03 1.359047500000000000e+05
1.325584709785729729e+03 1.360103593750000000e+05
1.325586098694604743e+03 1.359802968750000000e+05
1.325587487603478394e+03 1.359100000000000000e+05
1.325588876512352954e+03 1.359537187500000000e+05
1.325590265421227969e+03 1.359155156250000000e+05
1.325591654330101619e+03 1.359850312500000000e+05
1.325593043238975724e+03 1.359334062500000000e+05
1.325594432147850966e+03 1.361072031250000000e+05
1.325595821056724844e+03 1.360056562500000000e+05
1.325597209965598950e+03 1.359820625000000000e+05
1.325598598874473964e+03 1.359448281250000000e+05
1.325599987783349206e+03 1.360337812500000000e+05
1.325601376692223539e+03 1.360142812500000000e+05
1.325602765601097190e+03 1.360102343750000000e+05
1.325604154509972204e+03 1.360030625000000000e+05
1.325605543418846764e+03 1.360064843750000000e+05
1.325606932327254754e+03 1.360088593750000000e+05
1.325608321236129768e+03 1.359922812500000000e+05
1.325609710145004328e+03 1.360349062500000000e+05
1.325611099053878434e+03 1.359975937500000000e+05
1.325612487962753676e+03 1.359767500000000000e+05
1.325613876871161892e+03 1.360061250000000000e+05
1.325615265780035998e+03 1.359688750000000000e+05
1.325616654688911012e+03 1.359591406250000000e+05
1.325618043597785572e+03 1.359927031250000000e+05
1.325619432506659905e+03 1.359802343750000000e+05
1.325620821415068576e+03 1.359345781250000000e+05
1.325622210323943591e+03 1.359846093750000000e+05
1.325623599232818151e+03 1.359444531250000000e+05
1.325624988141226140e+03 1.359255000000000000e+05
1.325626377050101155e+03 1.360645468750000000e+05
1.325627765958975715e+03 1.359906875000000000e+05
1.325629154867383704e+03 1.360213437500000000e+05
1.325630543776258719e+03 1.359554843750000000e+05
1.325631932685133052e+03 1.359900000000000000e+05
1.325633321593541723e+03 1.360256093750000000e+05
1.325634710502416738e+03 1.359375781250000000e+05
1.325636099410825636e+03 1.360206093750000000e+05
1.325637488319699742e+03 1.359595781250000000e+05
1.325638877228574302e+03 1.359992812500000000e+05
1.325640266136983200e+03 1.360133125000000000e+05
1.325641655045857306e+03 1.359565625000000000e+05
1.325643043954266204e+03 1.359653281250000000e+05
1.325644432863141219e+03 1.360253437500000000e+05
1.325645821771550118e+03 1.359884375000000000e+05
1.325647210680423768e+03 1.359585625000000000e+05
1.325648599588833122e+03 1.359234843750000000e+05
1.325649988497707227e+03 1.360535000000000000e+05
1.325651377406115444e+03 1.360035000000000000e+05
1.325652766314525024e+03 1.359161718750000000e+05
1.325654155223400039e+03 1.360452500000000000e+05
1.325655544131808028e+03 1.360266875000000000e+05
1.325656933040682361e+03 1.360202812500000000e+05
1.325658321949091942e+03 1.360033437500000000e+05
1.325659710857500386e+03 1.360003593750000000e+05
1.325661099766374946e+03 1.360045781250000000e+05
1.325662488674783390e+03 1.359855156250000000e+05
1.325663877583657950e+03 1.360421250000000000e+05
1.325665266492066849e+03 1.360785312500000000e+05
